Row Labels;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;;
09/01/2024;08:22 Õ;08:22 Õ;08:16 Õ;05:00 ã;11:30 Õ;06:18 ã;;;08:34 Õ;08:34 Õ;07:52 Õ;07:52 Õ;08:43 Õ;06:06 ã;10:35 Õ;06:18 ã;11:44 Õ;08:54 ã;08:51 Õ;08:51 Õ;08:14 Õ;06:08 ã;10:22 Õ;07:19 ã;08:03 Õ;08:03 Õ;;;10:31 Õ;07:26 ã;08:13 Õ;08:13 Õ;10:16 Õ;06:18 ã;;;08:21 Õ;08:21 Õ;08:58 Õ;05:07 ã;08:44 Õ;06:06 ã;09:45 Õ;09:45 Õ;08:17 Õ;12:11 ã;;;08:10 Õ;08:10 Õ;08:43 Õ;08:43 Õ;;;10:10 Õ;07:17 ã;09:06 Õ;09:06 Õ;10:18 Õ;10:18 Õ;08:19 Õ;08:19 Õ;08:51 Õ;08:51 Õ;11:57 Õ;11:57 Õ;;;;;05:14 ã;05:14 ã;09:01 Õ;09:01 Õ;07:52 Õ;08:54 ã
10/01/2024;08:12 Õ;04:58 ã;09:25 Õ;05:40 ã;11:41 Õ;07:44 ã;;;08:58 Õ;08:58 Õ;08:02 Õ;06:20 ã;09:10 Õ;06:36 ã;10:24 Õ;07:44 ã;11:14 Õ;08:02 ã;08:24 Õ;05:47 ã;07:53 Õ;06:10 ã;10:39 Õ;07:50 ã;08:27 Õ;05:48 ã;10:38 Õ;05:34 ã;;;08:19 Õ;05:12 ã;09:59 Õ;06:01 ã;;;08:44 Õ;05:00 ã;08:29 Õ;08:29 Õ;08:10 Õ;06:16 ã;;;;;;;;;08:19 Õ;05:40 ã;;;10:36 Õ;07:58 ã;09:09 Õ;05:16 ã;09:17 Õ;09:17 Õ;08:29 Õ;08:29 Õ;09:23 Õ;05:07 ã;01:34 ã;06:42 ã;;;07:06 Õ;05:08 ã;05:08 ã;05:18 ã;07:34 Õ;04:58 ã;07:06 Õ;08:02 ã
11/01/2024;08:15 Õ;08:15 Õ;08:14 Õ;05:16 ã;11:50 Õ;06:53 ã;;;08:59 Õ;08:59 Õ;08:01 Õ;06:42 ã;09:33 Õ;06:59 ã;11:03 Õ;11:03 Õ;11:43 Õ;11:43 Õ;;;08:13 Õ;06:59 ã;09:42 Õ;09:42 Õ;08:08 Õ;08:08 Õ;;;10:17 Õ;07:45 ã;08:39 Õ;08:39 Õ;10:19 Õ;06:33 ã;10:04 Õ;10:04 Õ;08:09 Õ;08:09 Õ;08:04 Õ;08:04 Õ;08:13 Õ;08:13 Õ;09:03 Õ;09:03 Õ;07:46 Õ;07:46 Õ;06:13 ã;06:13 ã;;;08:24 Õ;08:24 Õ;;;10:59 Õ;10:59 Õ;09:00 Õ;05:59 ã;09:47 Õ;09:47 Õ;08:07 Õ;12:52 ã;;;;;;;07:03 Õ;09:11 ã;02:14 ã;09:05 ã;07:36 Õ;05:07 ã;07:03 Õ;09:11 ã
13/01/2024;05:41 ã;05:41 ã;;;;;;;;;08:31 Õ;06:11 ã;;;;;;;09:24 Õ;05:40 ã;;;;;09:49 Õ;05:50 ã;;;;;;;;;;;09:46 Õ;05:50 ã;;;;;;;;;;;09:41 Õ;05:41 ã;09:49 Õ;05:49 ã;;;;;;;;;;;;;;;;;;;;;;;08:31 Õ;06:11 ã
14/01/2024;08:12 Õ;08:12 Õ;;;11:57 Õ;05:49 ã;;;08:58 Õ;08:58 Õ;10:52 Õ;09:47 ã;09:18 Õ;06:53 ã;09:21 Õ;05:35 ã;11:53 Õ;09:47 ã;08:26 Õ;08:26 Õ;08:24 Õ;05:37 ã;08:00 Õ;05:38 ã;08:14 Õ;05:37 ã;;;10:44 Õ;07:51 ã;09:06 Õ;09:06 Õ;09:48 Õ;06:03 ã;;;;;08:09 Õ;08:09 Õ;07:56 Õ;05:01 ã;08:33 Õ;08:33 Õ;08:33 Õ;08:33 Õ;;;08:18 Õ;08:18 Õ;08:02 Õ;08:02 Õ;;;10:57 Õ;07:50 ã;;;;;09:01 Õ;05:01 ã;08:08 Õ;08:08 Õ;11:39 Õ;06:59 ã;08:46 Õ;08:46 Õ;07:03 Õ;07:03 Õ;;;07:44 Õ;05:02 ã;07:03 Õ;09:47 ã
15/01/2024;08:25 Õ;08:25 Õ;09:09 Õ;05:55 ã;11:56 Õ;09:53 ã;;;08:50 Õ;08:50 Õ;08:01 Õ;07:52 ã;09:20 Õ;09:20 Õ;10:29 Õ;08:22 ã;10:40 Õ;09:01 ã;08:23 Õ;08:23 Õ;;;11:00 Õ;08:18 ã;08:18 Õ;08:18 Õ;11:02 Õ;05:32 ã;10:18 Õ;08:23 ã;08:09 Õ;08:09 Õ;10:14 Õ;06:15 ã;;;08:14 Õ;08:14 Õ;08:09 Õ;08:09 Õ;07:59 Õ;05:47 ã;;;08:35 Õ;08:35 Õ;06:21 ã;06:21 ã;08:25 Õ;08:25 Õ;08:18 Õ;08:18 Õ;;;10:01 Õ;08:22 ã;08:50 Õ;06:31 ã;09:45 Õ;09:45 Õ;08:45 Õ;08:45 Õ;07:59 Õ;07:59 Õ;10:44 Õ;08:02 ã;08:39 Õ;08:39 Õ;;;;;07:59 Õ;05:08 ã;07:59 Õ;09:53 ã
16/01/2024;08:21 Õ;08:21 Õ;09:14 Õ;04:57 ã;10:54 Õ;10:32 ã;;;09:00 Õ;09:00 Õ;08:08 Õ;07:24 ã;08:50 Õ;07:15 ã;09:36 Õ;08:43 ã;12:32 ã;06:50 ã;08:33 Õ;08:33 Õ;07:52 Õ;06:35 ã;10:34 Õ;08:03 ã;08:19 Õ;06:30 ã;;;10:36 Õ;06:03 ã;08:07 Õ;08:07 Õ;09:47 Õ;05:54 ã;;;08:18 Õ;08:18 Õ;08:07 Õ;08:07 Õ;07:52 Õ;07:52 Õ;08:35 Õ;08:35 Õ;08:23 Õ;08:23 Õ;;;08:18 Õ;08:18 Õ;08:44 Õ;08:44 Õ;;;09:58 Õ;07:45 ã;08:58 Õ;08:58 Õ;10:05 Õ;10:05 Õ;08:06 Õ;08:06 Õ;08:31 Õ;08:31 Õ;11:56 Õ;06:50 ã;08:53 Õ;08:53 Õ;09:41 Õ;04:49 ã;08:56 ã;08:56 ã;07:52 Õ;07:52 Õ;07:52 Õ;10:32 ã
17/01/2024;08:25 Õ;05:27 ã;08:20 Õ;06:18 ã;11:44 Õ;09:56 ã;;;09:00 Õ;09:00 Õ;08:11 Õ;07:17 ã;08:49 Õ;06:44 ã;08:53 Õ;06:44 ã;11:12 Õ;08:56 ã;08:28 Õ;05:27 ã;08:02 Õ;06:43 ã;10:09 Õ;08:23 ã;08:23 Õ;05:08 ã;;;10:37 Õ;08:46 ã;08:26 Õ;05:28 ã;09:42 Õ;06:10 ã;;;08:15 Õ;05:27 ã;08:10 Õ;08:10 Õ;08:10 Õ;07:27 ã;09:26 Õ;09:26 Õ;08:20 Õ;08:20 Õ;;;08:14 Õ;08:14 Õ;08:29 Õ;05:27 ã;;;08:59 Õ;07:20 ã;09:22 Õ;09:22 Õ;10:21 Õ;10:21 Õ;09:18 Õ;09:18 Õ;09:00 Õ;09:00 Õ;11:47 Õ;06:54 ã;08:55 Õ;08:55 Õ;;;07:25 ã;07:25 ã;08:02 Õ;08:02 Õ;08:02 Õ;09:56 ã
18/01/2024;08:16 Õ;05:08 ã;08:08 Õ;05:14 ã;11:09 Õ;08:48 ã;;;09:00 Õ;09:00 Õ;08:09 Õ;06:22 ã;09:05 Õ;06:27 ã;;;11:59 Õ;08:19 ã;08:13 Õ;05:08 ã;08:09 Õ;07:16 ã;10:30 Õ;07:13 ã;08:08 Õ;08:08 Õ;;;10:30 Õ;10:30 Õ;08:15 Õ;07:44 ã;09:28 Õ;05:28 ã;;;08:21 Õ;05:08 ã;08:09 Õ;08:09 Õ;08:25 Õ;03:19 ã;;;08:16 Õ;08:16 Õ;;;;;08:15 Õ;08:15 Õ;;;10:01 Õ;10:01 Õ;09:12 Õ;09:12 Õ;08:52 Õ;08:52 Õ;08:08 Õ;04:51 ã;09:19 Õ;09:19 Õ;11:02 Õ;11:02 Õ;08:47 Õ;08:47 Õ;;;12:03 ã;05:04 ã;08:46 Õ;08:46 Õ;08:08 Õ;08:48 ã
20/01/2024;;;;;;;09:53 Õ;05:03 ã;;;07:59 Õ;04:59 ã;;;;;;;;;09:48 Õ;05:31 ã;;;;;09:53 Õ;05:04 ã;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09:48 Õ;09:48 Õ;;;;;;;;;;;;;;;07:59 Õ;05:31 ã
21/01/2024;08:13 Õ;05:06 ã;;;;;;;08:54 Õ;05:00 ã;08:07 Õ;06:10 ã;09:33 Õ;07:04 ã;10:01 Õ;08:35 ã;10:50 Õ;08:35 ã;08:16 Õ;05:06 ã;08:03 Õ;06:23 ã;;;08:05 Õ;05:52 ã;10:56 Õ;06:25 ã;10:36 Õ;07:38 ã;;;09:56 Õ;06:01 ã;;;08:17 Õ;05:35 ã;;;07:57 Õ;04:57 ã;08:56 Õ;05:04 ã;08:46 Õ;05:48 ã;;;08:21 Õ;05:35 ã;08:23 Õ;05:35 ã;;;08:23 Õ;05:41 ã;09:11 Õ;04:39 ã;10:01 Õ;04:37 ã;08:08 Õ;04:56 ã;08:54 Õ;05:04 ã;;;08:06 Õ;04:38 ã;;;;;07:57 Õ;05:00 ã;07:57 Õ;08:35 ã
22/01/2024;08:19 Õ;05:09 ã;09:14 Õ;06:05 ã;11:32 Õ;09:17 ã;09:17 ã;09:17 ã;09:04 Õ;09:04 Õ;07:31 Õ;06:06 ã;09:06 Õ;08:28 ã;10:09 Õ;09:17 ã;11:37 Õ;09:17 ã;08:19 Õ;05:08 ã;08:20 Õ;06:51 ã;;;08:27 Õ;06:24 ã;11:05 Õ;05:54 ã;10:12 Õ;07:57 ã;08:03 Õ;05:08 ã;09:41 Õ;06:10 ã;;;08:13 Õ;08:13 Õ;09:07 Õ;09:07 Õ;08:12 Õ;05:20 ã;08:11 Õ;05:00 ã;08:14 Õ;08:14 Õ;;;08:27 Õ;05:09 ã;08:03 Õ;05:35 ã;;;10:42 Õ;08:00 ã;09:09 Õ;06:55 ã;09:03 Õ;09:03 Õ;07:51 Õ;04:57 ã;09:34 Õ;05:07 ã;;;08:34 Õ;08:34 Õ;07:40 Õ;05:08 ã;08:14 Õ;05:07 ã;07:31 Õ;05:00 ã;07:31 Õ;09:17 ã
23/01/2024;08:30 Õ;05:08 ã;08:26 Õ;05:00 ã;11:34 Õ;09:34 ã;;;09:01 Õ;09:01 Õ;07:32 Õ;06:20 ã;09:46 Õ;07:51 ã;10:06 Õ;06:55 ã;12:04 ã;09:35 ã;08:09 Õ;05:04 ã;08:06 Õ;06:52 ã;;;08:31 Õ;05:46 ã;10:48 Õ;05:21 ã;09:41 Õ;07:46 ã;08:05 Õ;05:15 ã;09:26 Õ;05:40 ã;;;08:13 Õ;05:07 ã;09:18 Õ;05:10 ã;07:53 Õ;08:32 Õ;09:12 Õ;05:11 ã;08:04 Õ;05:14 ã;;;08:13 Õ;05:14 ã;08:21 Õ;05:07 ã;08:06 Õ;08:06 Õ;10:48 Õ;08:27 ã;09:23 Õ;06:12 ã;09:43 Õ;09:43 Õ;07:55 Õ;07:55 Õ;08:36 Õ;05:12 ã;01:29 ã;01:29 ã;;;07:10 Õ;04:59 ã;;;08:46 Õ;08:46 Õ;07:10 Õ;09:35 ã
24/01/2024;08:34 Õ;08:34 Õ;08:25 Õ;06:10 ã;11:34 Õ;08:59 ã;;;09:07 Õ;05:00 ã;07:42 Õ;06:11 ã;09:16 Õ;07:33 ã;09:10 Õ;06:38 ã;10:50 Õ;08:59 ã;08:10 Õ;05:28 ã;;;;;08:20 Õ;06:14 ã;10:45 Õ;05:37 ã;09:45 Õ;06:06 ã;08:08 Õ;05:02 ã;09:39 Õ;06:06 ã;;;08:16 Õ;05:49 ã;08:10 Õ;08:10 Õ;08:29 Õ;03:47 ã;09:16 Õ;05:06 ã;08:07 Õ;05:00 ã;;;;;09:07 Õ;09:07 Õ;;;09:41 Õ;06:00 ã;09:22 Õ;07:02 ã;09:29 Õ;05:01 ã;07:53 Õ;05:04 ã;08:49 Õ;05:02 ã;;;08:21 Õ;05:01 ã;07:19 Õ;07:19 Õ;08:38 Õ;05:29 ã;07:29 Õ;05:00 ã;07:19 Õ;08:59 ã
25/01/2024;;;;;02:26 ã;10:25 ã;;;10:40 Õ;03:41 ã;07:37 Õ;07:37 Õ;08:46 Õ;07:15 ã;10:27 Õ;08:36 ã;;;08:19 Õ;06:04 ã;07:43 Õ;06:18 ã;;;08:07 Õ;06:05 ã;;;;;;;;;;;08:04 Õ;06:05 ã;09:06 Õ;09:06 Õ;;;09:07 Õ;05:02 ã;;;;;08:39 Õ;05:11 ã;08:23 Õ;06:04 ã;;;;;10:03 Õ;05:20 ã;10:25 Õ;03:30 ã;07:57 Õ;03:17 ã;;;;;11:08 Õ;03:30 ã;;;;;;;07:37 Õ;10:25 ã
27/01/2024;09:28 Õ;09:28 Õ;;;;;;;;;08:02 Õ;08:02 Õ;;;;;;;09:43 Õ;09:43 Õ;;;;;;;;;;;;;;;;;09:38 Õ;09:38 Õ;;;;;;;;;;;;;09:43 Õ;09:43 Õ;;;;;;;;;;;;;;;;;;;;;;;08:02 Õ;09:43 Õ
28/01/2024;08:10 Õ;08:10 Õ;09:10 Õ;09:10 Õ;;;09:35 Õ;09:35 Õ;;;07:43 Õ;07:43 Õ;08:26 Õ;08:26 Õ;;;09:56 Õ;09:56 Õ;08:30 Õ;08:30 Õ;08:18 Õ;08:18 Õ;;;08:18 Õ;08:18 Õ;;;;;08:15 Õ;08:15 Õ;09:57 Õ;09:57 Õ;;;08:31 Õ;08:31 Õ;;;08:01 Õ;08:01 Õ;09:23 Õ;09:23 Õ;08:16 Õ;08:16 Õ;;;08:05 Õ;08:05 Õ;08:23 Õ;08:23 Õ;;;;;09:41 Õ;09:41 Õ;;;;;07:31 Õ;07:31 Õ;;;09:15 Õ;09:15 Õ;07:31 Õ;07:31 Õ;;;09:55 Õ;09:55 Õ;07:31 Õ;09:57 Õ
Grand Total;08:09 Õ;05:49 ã;08:08 Õ;06:18 ã;10:54 Õ;10:53 ã;09:35 Õ;09:17 ã;08:34 Õ;05:09 ã;07:31 Õ;09:47 ã;08:08 Õ;08:28 ã;08:53 Õ;09:17 ã;09:56 Õ;09:47 ã;08:09 Õ;06:22 ã;07:43 Õ;07:16 ã;08:00 Õ;08:26 ã;08:03 Õ;06:48 ã;09:53 Õ;06:25 ã;09:41 Õ;08:46 ã;08:03 Õ;07:44 ã;09:26 Õ;07:12 ã;10:04 Õ;10:04 Õ;08:04 Õ;06:32 ã;07:53 Õ;05:10 ã;07:52 Õ;07:27 ã;08:11 Õ;05:48 ã;07:46 Õ;06:05 ã;06:13 ã;06:21 ã;08:01 Õ;06:32 ã;08:02 Õ;06:32 ã;08:06 Õ;08:06 Õ;07:53 Õ;08:27 ã;08:50 Õ;07:02 ã;08:52 Õ;05:01 ã;07:51 Õ;05:18 ã;07:31 Õ;05:51 ã;10:44 Õ;08:02 ã;08:06 Õ;05:13 ã;07:03 Õ;09:11 ã;08:14 Õ;09:05 ã;07:29 Õ;05:35 ã;07:03 Õ;10:53 ã
